Identifier,Value,Field,Value,,
#Equity,,,,,
HD,LAST_PRICE,35.625,,,
ARG,LAST_PRICE,68.5,,,
IPG,LAST_PRICE,12.1,,,
RSG,LAST_PRICE,29.53,,,
M,LAST_PRICE,29.19,,,
LEG,LAST_PRICE,22.6,,,
TMO,LAST_PRICE,60.03,,,
GCI,LAST_PRICE,13.11,,,
AIZ,LAST_PRICE,34.89,,,
MOT,LAST_PRICE,44.32,,,
ETFC,LAST_PRICE,15.495,,,
GPC,LAST_PRICE,53.33,,,
NWL,LAST_PRICE,14.68,,,
ED,LAST_PRICE,53.18,,,
LUK,LAST_PRICE,33.02,,,
YHOO,LAST_PRICE,13.585,,,
SHLD,LAST_PRICE,70.81,,,
AET,LAST_PRICE,41.72,,,
DNB,LAST_PRICE,72.76,,,
ANF,LAST_PRICE,73.6,,,
COH,LAST_PRICE,64.05,,,
LUV,LAST_PRICE,9.94,,,
LLTC,LAST_PRICE,30.1,,,
YUM,LAST_PRICE,52.4,,,
NEE,LAST_PRICE,56.65,,,
S,LAST_PRICE,5.16,,,
MCO,LAST_PRICE,35.45,,,
KO,LAST_PRICE,68.69,,,
FO,LAST_PRICE,61.06,,,
ADBE,LAST_PRICE,28.5,,,
LTD,LAST_PRICE,37.48,,,
BDX,LAST_PRICE,83.49,,,
SIAL,LAST_PRICE,68.16,,,
HBAN,LAST_PRICE,5.995,,,
AMD,LAST_PRICE,7.51,,,
DE,LAST_PRICE,79.42,,,
EQT,LAST_PRICE,61.21,,,
HPQ,LAST_PRICE,36.8,,,
L,LAST_PRICE,40.12,,,
KEY,LAST_PRICE,8.1,,,
CPB,LAST_PRICE,33.24,,,
NBL,LAST_PRICE,95.33,,,
HAR,LAST_PRICE,42.9,,,
TXT,LAST_PRICE,23.49,,,
GWW,LAST_PRICE,148.76,,,
BF/B,LAST_PRICE,74.11,,,
BAX,LAST_PRICE,59.23,,,
OKE,LAST_PRICE,73.84,,,
PKI,LAST_PRICE,24.91,,,
SRE,LAST_PRICE,51.44,,,
ABC,LAST_PRICE,39.01,,,
WFR,LAST_PRICE,7.57,,,
RF,LAST_PRICE,6.13,,,
MAT,LAST_PRICE,26.72,,,
PBI,LAST_PRICE,21.78,,,
SYY,LAST_PRICE,30.81,,,
MHS,LAST_PRICE,63.12,,,
DO,LAST_PRICE,69.22,,,
IFF,LAST_PRICE,61.17,,,
RRC,LAST_PRICE,64.3,,,
FIS,LAST_PRICE,29.99,,,
MMM,LAST_PRICE,88.08,,,
APA,LAST_PRICE,124.52,,,
LH,LAST_PRICE,90.16,,,
NRG,LAST_PRICE,25.12,,,
CBG,LAST_PRICE,22.92,,,
DPS,LAST_PRICE,38.63,,,
WY,LAST_PRICE,20.1,,,
DD,LAST_PRICE,52.28,,,
ALL,LAST_PRICE,27.63,,,
NDAQ,LAST_PRICE,23.5,,,
MU,LAST_PRICE,7.43,,,
WM,LAST_PRICE,35.51,,,
AIV,LAST_PRICE,26.8,,,
BMS,LAST_PRICE,32.14,,,
PSA,LAST_PRICE,119.19,,,
MMC,LAST_PRICE,29.56,,,
OI,LAST_PRICE,25.86,,,
PLD,LAST_PRICE,34.25,,,
HRB,LAST_PRICE,15.03,,,
VZ,LAST_PRICE,36.21,,,
