Name,Currency,Quandl Prefix,Future Tenor,Underlying Tenor,Last Trading Time,Time Zone,Unit Amount,Underlying Convention,Nth Day Of Week,Day Of Week,Trading Exchange,Settlement Exchange,Trading Exchange Calendar
CME 3M/3M Eurodollar LIBOR,USD,CME/ED,P3M,P3M,16:00,America/Chicago,1000000,USD ICE LIBOR,3,Wednesday,CME,CME,US
CME 1M/3M Eurodollar LIBOR,USD,CME/ED,P3M,P1M,16:00,America/Chicago,1000000,USD ICE LIBOR,3,Wednesday,CME,CME,US
CME 1M/1M Eurodollar LIBOR,USD,CME/EM,P1M,P1M,16:00,America/Chicago,3000000,USD ICE LIBOR,3,Wednesday,CME,CME,US
LIFFE 3M/3M Euroswiss LIBOR,CHF,LIFFE/S,P3M,P3M,16:00,Europe/London,1000000,CHF ICE LIBOR,3,Wednesday,LIFFE,LIFFE,GB
EUREX 3M/3M EURIBOR,EUR,EUREX/FEU3,P3M,P3M,16:00,Europe/Berlin,1000000,EUR EBF EURIBOR,3,Wednesday,EUREX,EUREX,EU
LIFFE 3M/3M EURIBOR,EUR,LIFFE/I,P3M,P3M,16:00,Europe/London,1000000,EUR EBF EURIBOR,3,Wednesday,LIFFE,LIFFE,EU
LIFFE 3M/3M Short Sterling LIBOR,GBP,LIFFE/L,P3M,P3M,16:00,Europe/London,500000,GBP ICE LIBOR,3,Wednesday,LIFFE,LIFFE,EU
CME 3M/3M Euroyen TIBOR,JPY,CME/EY,P3M,P3M,16:00,America/Chicago,100000000,JPY JBA Euroyen TIBOR,3,Wednesday,CME,CME,GB
LIFFE 3M/3M Euroyen TIBOR,JPY,LIFFE/J,P3M,P3M,16:00,Europe/London,100000000,JPY JBA Euroyen TIBOR,3,Wednesday,LIFFE,LIFFE,EU
SGX 3M/3M Euroyen TIBOR,JPY,SGX/EY,P3M,P3M,16:00,Asia/Singapore,100000000,JPY JBA Euroyen TIBOR,3,Wednesday,SGX,SGX,SG
TFX 3M/3M Japan TIBOR,JPY,TFX/JBA,P3M,P3M,16:00,Asia/Tokyo,100000000,JPY JBA Japan TIBOR,3,Wednesday,TFX,TFX,JP
